t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
8.168,391.692074915313,86.5064149830626,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.964,250.72428666853,57.1088573337061,4.302,25.5850842732509,9.41901685465018
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
8.868,531.898266667341,115.247653333468,2.848,9.56599683814369,4.76119936762874
7.52,268.781137068199,61.2762274136398,3.064,16.2345382581593,6.31090765163186
10.462,474.976868073354,105.457373614671,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.26,204.4601523705,47.1520304741001,4.734,22.6730314196492,9.26860628392983
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
8.03,461.490996693178,100.328199338636,2.848,9.56599683814369,4.76119936762874
8.054,265.936966798612,61.2413933597224,3.064,16.2345382581593,6.31090765163186
8.702,434.482212583953,95.5984425167906,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.286,202.080107536665,46.702021507333,5.678,21.4131576836952,9.96063153673905
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
10.872,663.761009079412,143.624201815882,2.848,9.56599683814369,4.76119936762874
8.114,271.494969887732,62.4129939775465,3.064,16.2345382581593,6.31090765163186
10.568,501.913924547568,110.950784909514,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.4,214.476597386351,49.2953194772702,5.678,21.4131576836952,9.96063153673905
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
11.892,659.881746198512,143.868349239702,2.848,9.56599683814369,4.76119936762874
6.43,204.052299631063,47.2404599262125,3.064,16.2345382581593,6.31090765163186
8.92,468.019856680426,102.523971336085,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.282,196.660670271598,45.6141340543196,5.678,21.4131576836952,9.96063153673905
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
8.344,482.518892899195,104.847778579839,2.848,9.56599683814369,4.76119936762874
6.494,238.79575490445,54.25315098089,3.064,16.2345382581593,6.31090765163186
7.52,335.153965947715,74.550793189543,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
7.024,238.840739896429,54.7921479792858,4.432,20.7807290996767,8.58814581993533
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
9.474,568.560663903763,123.186132780753,2.848,9.56599683814369,4.76119936762874
7.41,323.014212876496,72.0128425752992,3.064,16.2345382581593,6.31090765163186
7.896,388.707914352719,85.6375828705438,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
5.588,212.263748221225,48.040749644245,5.678,21.4131576836952,9.96063153673905
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
9.248,441.474351811861,97.5428703623723,2.848,9.56599683814369,4.76119936762874
6.264,223.27953613961,50.9199072279219,3.064,16.2345382581593,6.31090765163186
9.982,446.752296294072,99.3324592588144,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
7.588,213.233640036873,50.2347280073746,5.678,21.4131576836952,9.96063153673905
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
7.36,453.072178868991,97.9744357737982,2.848,9.56599683814369,4.76119936762874
12.492,427.02343101474,97.8966862029479,3.064,16.2345382581593,6.31090765163186
9.34,412.039411251094,91.7478822502188,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
6.598,269.287440381308,60.4554880762617,4.152,27.342249396933,9.62044987938661
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
9.422,501.770008859062,109.776001771812,2.848,9.56599683814369,4.76119936762874
5.852,206.110471541943,47.0740943083886,3.064,16.2345382581593,6.31090765163186
10.822,486.456497282115,108.113299456423,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
5.118,198.885673575118,44.8951347150237,4.75,25.9719154869076,9.94438309738151
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
10.722,528.558776832245,116.433755366449,2.848,9.56599683814369,4.76119936762874
6.386,253.535904941006,57.0931809882012,3.064,16.2345382581593,6.31090765163186
7.856,458.627296534144,99.5814593068288,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
7.396,216.358991576318,50.6677983152635,4.998,24.1880812853019,9.83561625706039
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
11.038,539.620805129442,118.962161025888,2.848,9.56599683814369,4.76119936762874
8.456,394.272144614641,87.3104289229282,3.064,16.2345382581593,6.31090765163186
7.822,371.073458887484,82.0366917774968,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
5.692,230.416169320345,51.7752338640691,4.56,25.8111909320563,9.72223818641126
3.954,161.612170455282,36.2764340910563,2.28,19.1208147127952,6.10416294255904
9.608,458.28528260626,101.265056521252,3.322,14.8257681837195,6.28715363674389
3.834,240.927204836931,52.0194409673862,3.288,27.6542538095685,8.81885076191369
