t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
12.976,393.67042523436,91.7100850468721,10.402,194.616058179487,49.3252116358974
12.612,238.179586658179,60.2479173316357,10.294,193.116186714639,48.9172373429278
11.92,366.149637311703,85.1499274623406,10.124,166.039137596533,43.3318275193066
13.27,291.334748087926,71.5369496175852,11.624,207.456647853198,53.1153295706397
11.63,325.372114559948,76.7044229119897,9.944,129.543510436922,35.8527020873845
12.976,393.67042523436,91.7100850468721,10.402,194.616058179487,49.3252116358974
12.612,238.179586658179,60.2479173316357,10.294,193.116186714639,48.9172373429278
11.92,366.149637311703,85.1499274623406,10.124,166.039137596533,43.3318275193066
13.27,291.334748087926,71.5369496175852,11.624,207.456647853198,53.1153295706397
11.63,325.372114559948,76.7044229119897,9.638,128.876059531173,35.4132119062346
11.538,206.976871035853,52.9333742071706,9.168,125.673890541515,34.3027781083031
14.584,379.611203944217,90.5062407888434,9.636,210.939020165204,51.8238040330409
13.52,466.445754918774,106.809150983755,9.402,159.276725192561,41.2573450385122
16.212,180.441959201338,52.3003918402676,12.088,81.8977651675227,28.4675530335045
12.48,285.254359670971,69.5308719341941,12.156,104.055213305054,32.9670426610108
15.562,213.163275982962,58.1946551965925,9.274,130.640683152579,35.4021366305157
12.266,331.376315086724,78.5412630173448,12.814,184.180817404109,49.6501634808218
13.732,161.206707357311,45.9733414714621,8.75,86.8131277666158,26.1126255533232
13.438,343.389616306752,82.1159232613504,11.686,116.933109361433,35.0726218722865
12.624,381.417051226225,88.907410245245,9.392,252.293162700483,59.8506325400966
14.068,260.683838548058,66.2047677096116,10.418,137.912229738763,38.0004459477527
11.538,280.188885806782,67.5757771613564,12.154,93.5143693247743,30.8568738649549
17.82,226.383052891175,63.0966105782349,10.538,81.6544960179498,26.86889920359
15.152,482.820380134623,111.716076026925,11.68,65.6507800045678,24.8101560009136
10.832,150.248824027801,40.8817648055602,9.942,85.2289102498706,26.9877820499741
13.552,229.568271501255,59.465654300251,10.368,76.6104272904891,25.6900854580978
17.488,422.531969075329,101.994393815066,9.348,177.411082605887,44.8302165211774
11.772,300.167922764534,71.8055845529067,11.44,157.538834698965,42.9477669397931
13.922,470.442124805194,108.010424961039,13.644,136.747433085349,40.9934866170698
13.298,327.037400563916,78.7054801127833,12.744,134.313011980531,39.6066023961062
15.852,363.991364839415,88.650272967883,12.49,145.730426615326,41.6360853230652
16.996,285.660246638229,74.1280493276458,10.076,60.4375193254011,22.1635038650802
12.754,148.771596985422,42.5083193970843,11.622,142.369674498822,40.0959348997643
17.53,305.685603993472,78.6671207986945,10.486,133.536262503272,37.1932525006544
11.894,199.917267808614,51.8774535617228,11.584,120.563813438839,35.6967626877677
15.518,522.982130681948,120.11442613639,8.856,176.705198328852,44.1970396657704
17.374,459.933147538135,109.360629507627,9.428,138.097266058051,37.0474532116102
13.844,207.164432661226,55.2768865322453,12.032,91.8731192926787,30.4066238585357
16.89,287.585009620548,74.4070019241095,12.164,112.932850337342,34.7505700674683
14.856,510.843176184211,117.024635236842,12.102,121.549146723449,36.4118293446897
13.77,210.715824332411,55.9131648664823,9.094,136.347510948166,36.3635021896333
14.082,294.12779956955,72.9075599139101,11.652,176.998843866504,47.0517687733008
13.17,273.296722000953,67.8293444001906,9.478,105.746463839991,30.6272927679982
14.868,252.660940017452,65.4001880034905,8.276,93.0373106447672,26.8834621289534
12.758,198.613433406578,52.4806866813155,8.644,127.419321874579,34.1278643749159
12.976,393.67042523436,91.7100850468721,10.402,194.616058179487,49.3252116358974
12.612,238.179586658179,60.2479173316357,10.294,193.116186714639,48.9172373429278
11.92,366.149637311703,85.1499274623406,10.124,166.039137596533,43.3318275193066
13.27,291.334748087926,71.5369496175852,11.624,207.456647853198,53.1153295706397
11.63,325.372114559948,76.7044229119897,9.844,129.191152754298,35.6822305508595
11.538,206.976871035853,52.9333742071706,9.168,125.673890541515,34.3027781083031
14.584,379.611203944217,90.5062407888434,9.636,210.939020165204,51.8238040330409
13.52,466.445754918774,106.809150983755,9.402,159.276725192561,41.2573450385122
16.212,180.441959201338,52.3003918402676,12.088,81.8977651675227,28.4675530335045
12.48,285.254359670971,69.5308719341941,12.156,104.055213305054,32.9670426610108
15.562,213.163275982962,58.1946551965925,9.274,130.640683152579,35.4021366305157
12.266,331.376315086724,78.5412630173448,12.814,184.180817404109,49.6501634808218
13.732,161.206707357311,45.9733414714621,8.75,86.8131277666158,26.1126255533232
13.438,343.389616306752,82.1159232613504,11.686,116.933109361433,35.0726218722865
12.624,381.417051226225,88.907410245245,9.392,252.293162700483,59.8506325400966
14.068,260.683838548058,66.2047677096116,10.418,137.912229738763,38.0004459477527
11.538,280.188885806782,67.5757771613564,12.154,93.5143693247743,30.8568738649549
17.82,226.383052891175,63.0966105782349,10.538,81.6544960179498,26.86889920359
15.152,482.820380134623,111.716076026925,11.68,65.6507800045678,24.8101560009136
10.832,150.248824027801,40.8817648055602,9.942,85.2289102498706,26.9877820499741
13.552,229.568271501255,59.465654300251,10.368,76.6104272904891,25.6900854580978
17.488,422.531969075329,101.994393815066,9.348,177.411082605887,44.8302165211774
11.772,300.167922764534,71.8055845529067,11.44,157.538834698965,42.9477669397931
13.922,470.442124805194,108.010424961039,13.644,136.747433085349,40.9934866170698
13.298,327.037400563916,78.7054801127833,12.744,134.313011980531,39.6066023961062
15.852,363.991364839415,88.650272967883,12.49,145.730426615326,41.6360853230652
16.996,285.660246638229,74.1280493276458,10.076,60.4375193254011,22.1635038650802
12.754,148.771596985422,42.5083193970843,11.622,142.369674498822,40.0959348997643
17.53,305.685603993472,78.6671207986945,10.486,133.536262503272,37.1932525006544
11.894,199.917267808614,51.8774535617228,11.584,120.563813438839,35.6967626877677
15.518,522.982130681948,120.11442613639,8.856,176.705198328852,44.1970396657704
17.374,459.933147538135,109.360629507627,9.428,138.097266058051,37.0474532116102
13.844,207.164432661226,55.2768865322453,12.032,91.8731192926787,30.4066238585357
16.89,287.585009620548,74.4070019241095,12.164,112.932850337342,34.7505700674683
14.856,510.843176184211,117.024635236842,12.102,121.549146723449,36.4118293446897
13.77,210.715824332411,55.9131648664823,9.094,136.347510948166,36.3635021896333
14.082,294.12779956955,72.9075599139101,11.652,176.998843866504,47.0517687733008
13.17,273.296722000953,67.8293444001906,9.478,105.746463839991,30.6272927679982
14.868,252.660940017452,65.4001880034905,8.276,93.0373106447672,26.8834621289534
12.758,198.613433406578,52.4806866813155,8.644,127.419321874579,34.1278643749159
12.976,393.67042523436,91.7100850468721,10.402,194.616058179487,49.3252116358974
12.612,238.179586658179,60.2479173316357,10.294,193.116186714639,48.9172373429278
11.92,366.149637311703,85.1499274623406,10.124,166.039137596533,43.3318275193066
13.27,291.334748087926,71.5369496175852,11.624,207.456647853198,53.1153295706397
11.63,325.372114559948,76.7044229119897,9.638,129.112383623923,35.4604767247847
11.538,206.976871035853,52.9333742071706,9.168,125.673890541515,34.3027781083031
14.584,379.611203944217,90.5062407888434,9.636,210.939020165204,51.8238040330409
13.52,466.445754918774,106.809150983755,9.402,159.276725192561,41.2573450385122
16.212,180.441959201338,52.3003918402676,12.088,81.8977651675227,28.4675530335045
12.48,285.254359670971,69.5308719341941,12.156,104.055213305054,32.9670426610108
15.562,213.163275982962,58.1946551965925,9.274,130.640683152579,35.4021366305157
12.266,331.376315086724,78.5412630173448,12.814,184.180817404109,49.6501634808218
13.732,161.206707357311,45.9733414714621,8.75,86.8131277666158,26.1126255533232
13.438,343.389616306752,82.1159232613504,11.686,116.933109361433,35.0726218722865
12.624,381.417051226225,88.907410245245,9.392,252.293162700483,59.8506325400966
