t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
4.228,72.9878915320571,18.8255783064114,3.968,26.5348349049717,9.27496698099434
5.25,73.1160215830525,19.8732043166105,4.194,32.608922267074,10.7157844534148
6.22,89.5089886462505,24.1217977292501,2.97,28.7079910678203,8.71159821356406
5.446,51.0557033716535,15.6571406743307,2.802,38.7150330902345,10.5450066180469
5.302,117.63913720363,28.8298274407259,3.784,129.1345426471,29.61090852942
3.638,59.3116374683442,15.5003274936689,2.69,13.3783588239971,5.36567176479941
5.298,55.6578570846814,16.4295714169363,3.008,19.6876638970455,6.94553277940909
4.488,103.910586283349,25.2701172566697,3.674,23.0764096757791,8.28928193515582
3.54,51.3810880201208,13.8162176040242,3,29.8875394054362,8.97750788108725
6.908,55.5927621484978,18.0265524296996,4.354,24.4435948527651,9.24271897055301
5.45,128.004541166307,31.0509082332615,3.66,54.1582323102756,14.4916464620551
6.552,74.8813170977324,21.5282634195465,2.872,32.5023641808095,9.37247283616189
5.924,120.989869041153,30.1219738082305,3.482,61.4097278988299,15.763945579766
6.112,41.7980666846531,14.4716133369306,4.304,10.2154158247467,6.34708316494934
3.328,58.5338560785707,15.0347712157141,3.428,37.6466241057901,10.957324821158
5.918,61.0032475277693,18.1186495055539,2.874,43.4130102539717,11.5566020507943
4.172,44.4489421556188,13.0617884311238,2.464,41.1973003724069,10.7034600744814
4.018,61.9473726984827,16.4074745396965,2.672,54.9633189494829,13.6646637898966
4.644,128.140605368301,30.2721210736602,5.288,118.341333258537,28.9562666517074
4.378,83.4690929395016,21.0718185879003,3.148,20.4227349268501,7.23254698537002
2.614,28.1412281985968,8.24224563971936,2.216,25.8012745058375,7.37625490116749
4.69,22.8876765761444,9.26753531522888,5.196,14.6613379424057,8.12826758848114
4.518,72.0388941277345,18.9257788255469,2.822,33.5453282556092,9.53106565112183
5.17,39.264981620744,13.0229963241488,2.644,26.714727126045,7.98694542520899
5.22,55.4930135971694,16.3186027194339,2.378,18.000127048921,5.97802540978419
3.976,28.4566077567425,9.66732155134849,2.97,29.7783319858421,8.92566639716842
5.436,95.1812789495266,24.4722557899053,3.232,56.5428798713047,14.5405759742609
6.042,107.69902763816,27.581805527632,3.992,27.3150729009137,9.45501458018273
4.59,37.0306685751841,11.9961337150368,2.518,31.2104270871878,8.76008541743755
3.868,48.8018913317378,13.6283782663476,3.442,22.1909400945225,7.88018801890451
5.112,114.512366060844,28.0144732121688,4.4,90.3155321202503,22.4631064240501
4.17,120.522433168412,28.2744866336823,2.99,35.6849149645072,10.1269829929014
5.536,126.821131484956,30.9002262969913,5.504,88.0327813827377,23.1105562765475
4.716,45.3498113021621,13.7859622604324,3.842,29.5470117309748,9.75140234619496
5.25,73.2654899816399,19.903097996328,3.42,64.9974775902615,16.4194955180523
4.644,19.9710690196804,8.63821380393607,2.504,27.0295712835175,7.90991425670351
2.82,39.7432466712362,10.7686493342472,2.196,11.6517188793695,4.5263437758739
3.84,66.2466843117218,17.0893368623444,3.802,30.1635490139282,9.83470980278564
4.164,58.4415411929594,15.8523082385919,3.37,26.9450806417828,8.75901612835656
6.398,74.6612208802197,21.3302441760439,3.15,25.570639986767,8.26412799735341
2.784,27.8236861910146,8.34873723820292,4.324,14.8096616326708,7.28593232653416
4.814,56.0924166865905,16.0324833373181,3.172,47.7601386906335,12.7240277381267
4.228,72.9878915320571,18.8255783064114,3.968,26.5348349049717,9.27496698099434
4.756,50.1191503817816,14.7798300763563,4.182,32.1833571462681,10.6186714292536
6.22,89.5089886462505,24.1217977292501,2.97,28.7079910678203,8.71159821356406
5.446,51.0557033716535,15.6571406743307,2.802,38.7150330902345,10.5450066180469
5.302,117.63913720363,28.8298274407259,4.744,151.629323244535,35.0698646489071
3.638,59.3116374683442,15.5003274936689,2.69,13.3783588239971,5.36567176479941
5.242,54.7158501553187,16.1851700310637,3.008,19.6876638970455,6.94553277940909
4.488,103.910586283349,25.2701172566697,3.674,23.0764096757791,8.28928193515582
3.54,51.3810880201208,13.8162176040242,3,29.8875394054362,8.97750788108725
5.64,49.5941959566907,15.5588391913381,3.088,69.6071195725975,17.0094239145195
4.1,78.4749546332257,19.7949909266451,3.66,54.1582323102756,14.4916464620551
6.552,74.8813170977324,21.5282634195465,2.872,32.5023641808095,9.37247283616189
6.528,129.574218492502,32.4428436985003,3.482,62.6597672438858,16.0139534487772
6.112,41.3132620329149,14.374652406583,4.304,10.2154158247467,6.34708316494934
3.328,58.5338560785707,15.0347712157141,3.428,37.6466241057901,10.957324821158
5.634,60.8457603753932,17.8031520750786,2.874,43.4130102539717,11.5566020507943
4.172,44.4489421556188,13.0617884311238,2.464,41.1973003724069,10.7034600744814
4.018,61.9473726984827,16.4074745396965,2.672,54.9633189494829,13.6646637898966
4.228,72.9878915320571,18.8255783064114,3.968,26.5348349049717,9.27496698099434
5.21,54.6485379392249,16.139707587845,4.18,32.8107013584666,10.7421402716933
6.22,89.5089886462505,24.1217977292501,2.97,28.7079910678203,8.71159821356406
5.446,51.0557033716535,15.6571406743307,2.802,38.7150330902345,10.5450066180469
5.302,117.63913720363,28.8298274407259,4.744,151.629323244535,35.0698646489071
3.638,59.3116374683442,15.5003274936689,2.69,13.3783588239971,5.36567176479941
5.714,54.8016110756781,16.6743222151356,3.008,19.6876638970455,6.94553277940909
4.488,103.910586283349,25.2701172566697,3.674,23.0764096757791,8.28928193515582
3.54,51.3810880201208,13.8162176040242,3,29.8875394054362,8.97750788108725
6.216,53.1114596917229,16.8382919383446,4.1,120.300874885198,28.1601749770396
4.394,73.0032081091838,18.9946416218368,3.66,54.1582323102756,14.4916464620551
6.552,74.8813170977324,21.5282634195465,2.872,32.5023641808095,9.37247283616189
5.884,122.066582453604,30.2973164907209,3.764,61.7864898394246,16.1212979678849
6.112,41.5095207924845,14.4139041584969,4.304,10.2154158247467,6.34708316494934
3.328,58.5338560785707,15.0347712157141,3.95,23.781377969314,8.7062755938628
5.386,58.9052321076817,17.1670464215363,2.874,43.4130102539717,11.5566020507943
4.172,44.4489421556188,13.0617884311238,2.464,41.1973003724069,10.7034600744814
4.018,61.9473726984827,16.4074745396965,2.672,54.9633189494829,13.6646637898966
