t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
0,0,0,2.96,17.204477790335,6.400895558067
7.82,90.2138334554409,25.8627666910882,6.068,25.8871852274514,11.2454370454903
4.224,78.7847057644991,19.9809411528998,2.81,9.76142305680414,4.76228461136083
4.23,63.7399280062626,16.9779856012525,2.76,5.79512658359209,3.91902531671842
4.958,120.532302410702,29.0644604821403,2.552,19.3677066587653,6.42554133175306
5.202,100.895177981373,25.3810355962746,2.526,6.67700301403474,3.86140060280695
4.274,62.7592164626656,16.8258432925331,2.558,7.02326292341894,3.96265258468379
7.508,93.4908913568864,26.2061782713773,2.896,13.4216206225759,5.58032412451518
10.88,194.793415177367,49.8386830354735,3.742,16.5301902039489,7.04803804078978
8.794,127.793210884163,34.3526421768325,2.14,19.9478736938905,6.1295747387781
4.102,64.8829327725074,17.0785865545015,2.9,9.66379964042986,4.83275992808597
5.606,102.414478355655,26.088895671131,2.826,23.4138318601404,7.50876637202808
6.522,108.028222055356,28.1276444110712,3.02,24.3338002961855,7.88676005923709
3.724,72.7091904811721,18.2658380962344,2.486,18.8841386825495,6.2628277365099
4.836,70.5733951688903,18.9506790337781,3.262,11.9114606977508,5.64429213955017
8.586,162.447998759577,41.0755997519153,2.582,11.7480326459553,4.93160652919106
10.114,163.53051169862,42.820102339724,3.766,4.12770242505404,4.59154048501081
4.964,67.3136477140204,18.4267295428041,3.634,16.6869341252898,6.97138682505796
10.424,172.143463509114,44.8526927018229,4.212,23.864799763966,8.98495995279321
0,0,0,2.96,17.204477790335,6.400895558067
8.164,92.98542342086,26.761084684172,5.618,25.6199754185045,10.7419950837009
4.224,78.7847057644991,19.9809411528998,2.81,9.76142305680414,4.76228461136083
4.23,63.7399280062626,16.9779856012525,2.76,5.79512658359209,3.91902531671842
4.958,120.532302410702,29.0644604821403,2.552,19.3677066587653,6.42554133175306
6.472,99.5649172217451,26.384983444349,2.526,6.67700301403474,3.86140060280695
