t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
14.506,659.861069099232,146.478213819846,12.056,131.394049375785,38.334809875157
13.732,963.310497654497,206.394099530899,9.778,135.784161419715,36.934832283943
11.072,498.941699015775,110.860339803155,9.74,175.758422286242,44.8916844572484
13.454,517.005461123765,116.855092224753,9.87,131.536314793493,36.1772629586986
12.578,681.651614774743,148.908322954949,9.908,138.132734861967,37.5345469723934
13.844,1060.61372727817,225.966745455633,11.834,144.879224297062,40.8098448594125
11.946,892.502166587158,190.446433317432,11.186,186.703910998035,48.5267821996069
17.986,574.715947746894,132.929189549379,10.042,160.85311022528,42.2126220450559
11.86,632.708853368568,138.401770673714,12.06,164.659437358914,44.9918874717829
13.97,862.210833768089,186.412166753618,12.244,101.73705170292,32.591410340584
11.902,916.568182743196,195.215636548639,14.524,219.48263345128,58.4205266902561
13.808,676.591185884585,149.126237176917,7.544,103.257289538566,28.1954579077132
10.714,690.994144610517,148.912828922103,8.694,107.255457679002,30.1450915358005
16.246,334.654898872128,83.1769797744256,8.738,67.4413593643014,22.2262718728603
14.474,589.632046900662,132.400409380132,9.578,132.554695600663,36.0889391201327
16.072,1642.43478747854,344.558957495707,10.4,107.038527843732,31.8077055687465
13.79,1325.53566208129,278.897132416259,11.502,159.961260513682,43.4942521027364
14.506,659.861069099232,146.478213819846,12.056,131.394049375785,38.334809875157
13.732,963.310497654497,206.394099530899,9.778,135.784161419715,36.934832283943
11.072,498.941699015775,110.860339803155,9.74,175.758422286242,44.8916844572484
13.454,517.005461123765,116.855092224753,9.87,131.536314793493,36.1772629586986
12.578,682.527558565851,149.08351171317,9.908,138.132734861967,37.5345469723934
13.844,1060.61372727817,225.966745455633,11.834,144.879224297062,40.8098448594125
11.946,892.502166587158,190.446433317432,11.186,186.703910998035,48.5267821996069
17.986,574.715947746894,132.929189549379,10.042,160.85311022528,42.2126220450559
11.86,632.708853368568,138.401770673714,12.06,164.659437358914,44.9918874717829
13.97,862.210833768089,186.412166753618,12.244,101.73705170292,32.591410340584
11.902,916.568182743196,195.215636548639,14.524,219.48263345128,58.4205266902561
13.808,676.591185884585,149.126237176917,7.544,103.257289538566,28.1954579077132
10.714,690.994144610517,148.912828922103,8.694,107.255457679002,30.1450915358005
16.246,334.654898872128,83.1769797744256,8.738,67.4413593643014,22.2262718728603
14.474,589.632046900662,132.400409380132,9.578,132.554695600663,36.0889391201327
16.072,1642.43478747854,344.558957495707,10.4,107.038527843732,31.8077055687465
13.79,1325.53566208129,278.897132416259,11.502,159.961260513682,43.4942521027364
14.506,659.861069099232,146.478213819846,12.056,131.394049375785,38.334809875157
13.732,963.310497654497,206.394099530899,9.778,135.784161419715,36.934832283943
11.072,498.941699015775,110.860339803155,9.74,175.758422286242,44.8916844572484
13.454,517.005461123765,116.855092224753,9.87,131.536314793493,36.1772629586986
12.578,681.312665844424,148.840533168885,9.908,138.132734861967,37.5345469723934
13.844,1060.61372727817,225.966745455633,11.834,144.879224297062,40.8098448594125
11.946,892.502166587158,190.446433317432,11.186,186.703910998035,48.5267821996069
17.986,574.715947746894,132.929189549379,10.042,160.85311022528,42.2126220450559
11.86,632.708853368568,138.401770673714,12.06,164.659437358914,44.9918874717829
13.97,862.210833768089,186.412166753618,12.244,101.73705170292,32.591410340584
11.902,916.568182743196,195.215636548639,14.524,219.48263345128,58.4205266902561
13.808,676.591185884585,149.126237176917,7.544,103.257289538566,28.1954579077132
10.714,690.994144610517,148.912828922103,8.694,107.255457679002,30.1450915358005
16.246,334.654898872128,83.1769797744256,8.738,67.4413593643014,22.2262718728603
14.474,589.632046900662,132.400409380132,9.578,132.554695600663,36.0889391201327
16.072,1642.43478747854,344.558957495707,10.4,107.038527843732,31.8077055687465
13.79,1325.53566208129,278.897132416259,11.502,159.961260513682,43.4942521027364
14.148,584.78233399119,131.104466798238,7.032,75.6595458282619,22.1639091656524
14.39,562.456747736706,126.881349547341,12.232,130.756614159754,38.3833228319507
15.348,777.527055748583,170.853411149717,8.782,137.100502618513,36.2021005237026
13.642,518.395067908056,117.321013581611,9.472,98.3495597722992,29.1419119544599
12.52,878.05394082231,188.130788164462,13.836,162.737118909825,46.383423781965
13.962,931.913570392269,200.344714078454,10.826,118.918045152939,34.6096090305877
11.998,1273.89741198904,266.777482397808,12.206,175.101921051001,47.2263842102003
15.996,697.60544124229,155.517088248458,7.978,164.166440980311,40.8112881960622
15.034,854.682281433682,185.970456286736,9.83,168.947728792894,43.6195457585789
13.09,1136.12808762687,240.315617525373,13.276,63.8437340625093,26.0447468125019
16.366,1585.36368965709,333.438737931417,9.514,97.0214989808972,28.9182997961794
12.9,722.197263619748,157.33945272395,10.552,154.82370771677,41.5167415433539
12.472,557.830130352135,124.038026070427,8.58,151.831160893687,38.9462321787375
14.058,521.01087980097,118.260175960194,9.696,69.4542274135088,23.5868454827018
15.732,956.965707592585,207.125141518517,10.71,235.549884321021,57.8199768642042
12.542,685.550438266702,149.65208765334,12.576,157.247415794571,44.0254831589142
15.44,1116.54998781495,238.749997562991,12.018,100.072718511479,32.0325437022959
16.534,415.125096040449,99.5590192080898,7.184,92.8973695438918,25.7634739087784
16.48,781.534088391197,172.786817678239,10.688,135.709735827799,37.8299471655599
12.956,970.125167796837,206.981033559367,11.564,124.574310183905,36.4788620367809
10.61,443.68775304453,99.347550608906,9.96,136.533222782427,37.2666445564855
10.852,390.229788125269,88.8979576250539,11.646,127.002356996293,37.0464713992586
14.634,554.032281579864,125.440456315973,9.924,131.778416640813,36.2796833281626
14.506,659.861069099232,146.478213819846,12.056,131.394049375785,38.334809875157
13.732,963.310497654497,206.394099530899,9.778,135.784161419715,36.934832283943
11.072,498.941699015775,110.860339803155,9.74,175.758422286242,44.8916844572484
13.454,517.005461123765,116.855092224753,9.87,131.536314793493,36.1772629586986
12.578,680.850822225814,148.748164445163,9.908,138.132734861967,37.5345469723934
13.844,1060.61372727817,225.966745455633,11.834,144.879224297062,40.8098448594125
11.946,892.502166587158,190.446433317432,11.186,186.703910998035,48.5267821996069
17.986,574.715947746894,132.929189549379,10.042,160.85311022528,42.2126220450559
11.86,632.708853368568,138.401770673714,12.06,164.659437358914,44.9918874717829
13.97,862.210833768089,186.412166753618,12.244,101.73705170292,32.591410340584
11.902,916.568182743196,195.215636548639,14.524,219.48263345128,58.4205266902561
13.808,676.591185884585,149.126237176917,7.544,103.257289538566,28.1954579077132
10.714,690.994144610517,148.912828922103,8.694,107.255457679002,30.1450915358005
16.246,334.654898872128,83.1769797744256,8.738,67.4413593643014,22.2262718728603
14.474,589.632046900662,132.400409380132,9.578,132.554695600663,36.0889391201327
16.072,1642.43478747854,344.558957495707,10.4,107.038527843732,31.8077055687465
13.79,1325.53566208129,278.897132416259,11.502,159.961260513682,43.4942521027364
14.148,584.78233399119,131.104466798238,7.032,75.6595458282619,22.1639091656524
14.39,562.456747736706,126.881349547341,12.232,130.756614159754,38.3833228319507
15.348,777.527055748583,170.853411149717,8.782,137.100502618513,36.2021005237026
13.642,518.395067908056,117.321013581611,9.472,98.3495597722992,29.1419119544599
12.52,878.05394082231,188.130788164462,13.836,162.737118909825,46.383423781965
13.962,931.913570392269,200.344714078454,10.826,118.918045152939,34.6096090305877
11.998,1273.89741198904,266.777482397808,12.206,175.101921051001,47.2263842102003
