t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
3.072,416.534120289546,416.534120289546,3.072,50.8480577751891,50.8480577751891
3.384,172.857108074844,172.857108074844,3.384,41.1148639132158,41.1148639132158
3.424,180.437183183848,180.437183183848,3.424,39.8913336826089,39.8913336826089
2.784,213.257109110119,213.257109110119,2.784,48.4221294304617,48.4221294304617
3.912,202.832114752629,202.832114752629,3.912,25.7332325441904,25.7332325441904
3.752,373.338780550868,373.338780550868,3.752,64.7400800821647,64.7400800821647
4.56,131.667826161775,131.667826161775,4.56,58.062218113858,58.062218113858
4.84,203.952191937469,203.952191937469,4.84,50.0641501613994,50.0641501613994
4.896,219.55541780298,219.55541780298,4.896,65.6194144309711,65.6194144309711
2.704,276.003061376697,276.003061376697,2.704,44.5422325011271,44.5422325011271
3.024,92.5194594134117,92.5194594134117,3.024,52.2335369670701,52.2335369670701
5.056,220.809655102279,220.809655102279,5.056,95.6446227265541,95.6446227265541
3.704,115.034543079527,115.034543079527,3.704,32.4896321080087,32.4896321080087
3.44,135.764462555425,135.764462555425,3.44,37.1335116415364,37.1335116415364
5.688,285.616741260924,285.616741260924,5.688,55.2644187133032,55.2644187133032
2.688,81.6579321903693,81.6579321903693,2.688,44.539408575031,44.539408575031
3.872,135.255440546707,135.255440546707,3.872,26.03636207514,26.03636207514
2.816,86.6059152115354,86.6059152115354,2.816,32.8789307716956,32.8789307716956
4.24,143.430950114268,143.430950114268,4.24,31.2916889881273,31.2916889881273
2.064,76.346132509986,76.346132509986,2.064,59.4717443142589,59.4717443142589
2.704,132.703299837929,132.703299837929,2.704,66.1197952295866,66.1197952295866
3.032,276.657495614391,276.657495614391,3.032,29.9922280073646,29.9922280073646
2.88,273.172340107691,273.172340107691,2.88,68.4021624050643,68.4021624050643
4.984,227.011076223744,227.011076223744,4.984,104.192983618451,104.192983618451
7.112,290.004638087453,290.004638087453,7.112,109.685743169483,109.685743169483
2.464,120.447671114693,120.447671114693,2.464,12.7120690946236,12.7120690946236
3.52,458.708272297031,458.708272297031,3.52,104.647540137384,104.647540137384
4.888,200.520539574705,200.520539574705,4.888,88.3989447061382,88.3989447061382
2.688,152.412276616555,152.412276616555,2.688,25.9926550400256,25.9926550400256
5.088,535.091425350119,535.091425350119,5.088,81.9909736608286,81.9909736608286
3.76,107.376573348787,107.376573348787,3.76,57.3479212113958,57.3479212113958
6.16,185.952567675586,185.952567675586,6.16,49.7583624157876,49.7583624157876
1.864,229.510561624921,229.510561624921,1.864,19.8019580781639,19.8019580781639
3.392,197.73866746036,197.73866746036,3.392,81.6490009743577,81.6490009743577
5.352,524.918231996967,524.918231996967,5.352,186.468371194616,186.468371194616
9.272,184.303511002214,184.303511002214,9.272,84.0676593010038,84.0676593010038
6.528,174.334467477752,174.334467477752,6.528,79.4120408868388,79.4120408868388
6.216,856.609562526389,856.609562526389,6.216,154.736290263856,154.736290263856
4.216,328.833235244471,328.833235244471,4.216,80.8030055424255,80.8030055424255
3.304,341.695711491564,341.695711491564,3.304,73.5747409732758,73.5747409732758
12.632,269.239604993891,269.239604993891,12.632,88.1541786091561,88.1541786091561
3.608,89.9653704249868,89.9653704249868,3.608,30.1620996282405,30.1620996282405
5.792,217.695373912704,217.695373912704,5.792,86.2215923856127,86.2215923856127
2.104,151.123531342356,151.123531342356,2.104,30.5432883329586,30.5432883329586
8.792,320.551205881187,320.551205881187,8.792,117.703059807778,117.703059807778
9.728,314.706434817949,314.706434817949,9.728,91.9911730581283,91.9911730581283
4.272,223.075468122206,223.075468122206,4.272,42.1328118328801,42.1328118328801
5.184,147.955898115637,147.955898115637,5.184,37.6455836781698,37.6455836781698
5.44,184.685752657125,184.685752657125,5.44,110.70877946488,110.70877946488
3.4,203.366070974706,203.366070974706,3.4,117.054601227692,117.054601227692
4.6,196.353000839436,196.353000839436,4.6,58.9631241424147,58.9631241424147
3.056,232.615171299646,232.615171299646,3.056,62.417143289876,62.417143289876
4.184,199.002452190972,199.002452190972,4.184,41.3730348353309,41.3730348353309
2.336,502.434711430094,502.434711430094,2.336,69.8199174783284,69.8199174783284
3.632,297.819434604328,297.819434604328,3.632,140.057145157986,140.057145157986
5.824,343.179408314436,343.179408314436,5.824,108.856917905786,108.856917905786
4.96,197.557807135336,197.557807135336,4.96,94.6597365845431,94.6597365845431
3.016,205.980151357268,205.980151357268,3.016,123.488841888405,123.488841888405
3.152,261.929889026337,261.929889026337,3.152,114.041163935246,114.041163935246
4.904,639.77454867158,639.77454867158,4.904,125.561301393354,125.561301393354
2.176,50.6133057437364,50.6133057437364,2.176,29.2618623622425,29.2618623622425
8.48,272.438138164993,272.438138164993,8.48,96.5825780861989,96.5825780861989
3.032,213.78170465944,213.78170465944,3.032,54.093396427141,54.093396427141
3.232,74.6301645568388,74.6301645568388,3.232,49.6348660349054,49.6348660349054
2.096,123.664576008504,123.664576008504,2.096,70.0201637788174,70.0201637788174
3.776,176.642931066277,176.642931066277,3.776,58.140673271382,58.140673271382
5.144,204.37915977666,204.37915977666,5.144,93.2165365775901,93.2165365775901
4.36,280.401906606939,280.401906606939,4.36,180.679524852427,180.679524852427
3.504,240.486978933913,240.486978933913,3.504,57.142968244,57.142968244
1.976,154.119223289181,154.119223289181,1.976,33.8024883634332,33.8024883634332
4.664,238.499444925717,238.499444925717,4.664,90.4648050153644,90.4648050153644
3.312,140.276015217981,140.276015217981,3.312,17.4912584335909,17.4912584335909
2.464,82.4650866620854,82.4650866620854,2.464,14.623500878848,14.623500878848
3.48,212.281864865066,212.281864865066,3.48,52.3903252728332,52.3903252728332
5.352,257.99295799768,257.99295799768,5.352,78.4150534427759,78.4150534427759
3.808,133.785778969061,133.785778969061,3.808,53.6791874259716,53.6791874259716
3.336,137.423216820197,137.423216820197,3.336,28.366365944301,28.366365944301
5.24,368.152506637923,368.152506637923,5.24,119.968952494143,119.968952494143
2.256,91.6284551847388,91.6284551847388,2.256,29.4394452515489,29.4394452515489
3.112,174.505766496877,174.505766496877,3.112,28.2008094763181,28.2008094763181
7.928,356.940621593032,356.940621593032,7.928,127.884137508139,127.884137508139
3.784,341.821673150732,341.821673150732,3.784,106.572174467958,106.572174467958
3.624,208.026453354348,208.026453354348,3.624,138.657025422327,138.657025422327
4.536,109.713514838835,109.713514838835,4.536,54.2482137335848,54.2482137335848
3.72,176.527326311759,176.527326311759,3.72,127.082219484646,127.082219484646
4.448,242.086358389501,242.086358389501,4.448,51.7393035901814,51.7393035901814
5.088,235.92663179251,235.92663179251,5.088,58.2314829166124,58.2314829166124
3.456,336.799874374121,336.799874374121,3.456,102.809197984339,102.809197984339
3.832,245.958536831663,245.958536831663,3.832,101.883439767524,101.883439767524
7.208,228.608984941412,228.608984941412,7.208,53.3344434505244,53.3344434505244
4.296,409.430825639583,409.430825639583,4.296,81.8607232298288,81.8607232298288
4.32,161.044325190382,161.044325190382,4.32,39.3193503868669,39.3193503868669
1.848,74.3167977667229,74.3167977667229,1.848,41.1041608625507,41.1041608625507
4.064,199.471775434724,199.471775434724,4.064,88.0159013553398,88.0159013553398
1.672,156.622607668887,156.622607668887,1.672,9.65037818171542,9.65037818171542
2.528,417.856306615195,417.856306615195,2.528,71.2216368125367,71.2216368125367
3.184,232.916955711124,232.916955711124,3.184,84.7223080055348,84.7223080055348
3.392,155.698020919899,155.698020919899,3.392,34.8226058286293,34.8226058286293
6.056,265.688392527327,265.688392527327,6.056,84.3170657570577,84.3170657570577
4.56,103.336546356845,103.336546356845,4.56,35.269986130356,35.269986130356
