t_IR,E_IR,TC_IR,t_MR,E_MR,TC_MR
5.414,438.81673418121,438.81673418121,5.414,89.146940570739,89.146940570739
2.58,313.707441550907,313.707441550907,2.58,37.33505805374,37.33505805374
4.018,338.938321164406,338.938321164406,4.018,63.2240362664045,63.2240362664045
5.058,444.30460673021,444.30460673021,5.058,74.7199074285776,74.7199074285776
7.676,469.027983059378,469.027983059378,7.676,60.1450960800519,60.1450960800519
3.126,450.812143707791,450.812143707791,3.126,60.4740846607422,60.4740846607422
5.552,168.462021825233,168.462021825233,5.552,49.9370436057165,49.9370436057165
5.04,410.100979341992,410.100979341992,5.04,19.4629829994776,19.4629829994776
2.302,352.992455139451,352.992455139451,2.302,42.5801880608147,42.5801880608147
6.034,449.480653106335,449.480653106335,6.034,93.3983842735065,93.3983842735065
2.352,223.225270916894,223.225270916894,2.352,50.7356405973867,50.7356405973867
3.34,263.768078254312,263.768078254312,3.34,66.5650223361287,66.5650223361287
3.798,362.587761943175,362.587761943175,3.798,104.040964878579,104.040964878579
3.612,386.749665474555,386.749665474555,3.612,24.2407903911198,24.2407903911198
3.51,433.832877975354,433.832877975354,3.51,70.3997913958625,70.3997913958625
3.606,138.64388626941,138.64388626941,3.606,28.0079588246848,28.0079588246848
4.072,390.456876590356,390.456876590356,4.072,45.1589735487026,45.1589735487026
2.656,787.582715500327,787.582715500327,2.656,51.458706167923,51.458706167923
3.516,269.08779746978,269.08779746978,3.516,51.8573344491733,51.8573344491733
4.752,347.23181253639,347.23181253639,4.752,48.9808830016868,48.9808830016868
5.706,328.045539531914,328.045539531914,5.706,78.5724295689658,78.5724295689658
4.284,77.329843198043,77.329843198043,4.284,15.3923995423515,15.3923995423515
4.76,417.597795258902,417.597795258902,4.76,75.2433246313534,75.2433246313534
3.014,358.610523637288,358.610523637288,3.014,37.7187185705343,37.7187185705343
2.846,197.816348562227,197.816348562227,2.846,19.6476006373129,19.6476006373129
3.68,398.831136916731,398.831136916731,3.68,61.7509174508526,61.7509174508526
2.486,328.646834305482,328.646834305482,2.486,54.1020906475646,54.1020906475646
3.476,537.333297366146,537.333297366146,3.476,98.8170041131705,98.8170041131705
2.71,472.943081301119,472.943081301119,2.71,43.7888783023067,43.7888783023067
